state,year,ekey,next_ekey,ac,AC_TYPE,party,cand,share,margin,won,party_wins_next,cand_wins_next,ran_again
Jharkhand,2005,2005.06,2009.06,BARKAGAON,GEN,BJP,LOK NATH MAHTO,0.29171370930426255,0.10106300937151039,1,0,0,0
Jharkhand,2005,2005.06,2009.06,BARKAGAON,GEN,INC,YOGENDRA SAW,0.19065069993275216,-0.10106300937151039,0,1,1,1
Jharkhand,2005,2005.06,2009.06,RAMGARH,GEN,AJSU,CHANDRA PRAKASH,0.3388744520045228,0.14731573135492915,1,0,1,1
Jharkhand,2005,2005.06,2009.06,RAMGARH,GEN,CPI,NADRA BAGUM,0.19155872064959367,-0.14731573135492915,0,0,0,0
Jharkhand,2005,2005.06,2009.06,HAZARIBAGH,GEN,INC,SAURABH NARAYAN SINGH,0.2612552922234958,0.02030756183370988,1,1,0,0
Jharkhand,2005,2005.06,2009.06,HAZARIBAGH,GEN,IND,BRAJ KISHOR JAISWAL,0.24094773038978592,-0.02030756183370988,0,0,0,0
Jharkhand,2005,2005.06,2009.06,SIMARIA,SC,BJP,UPENDRA NATH DAS,0.30190002369106844,0.07031509121061358,1,0,0,0
Jharkhand,2005,2005.06,2009.06,SIMARIA,SC,CPI,RAM CHANDRA RAM,0.23158493248045486,-0.07031509121061358,0,0,0,0
Jharkhand,2005,2005.06,2009.06,CHATRA,SC,BJP,SATYANAND BHOKTA,0.3941888240592082,0.036668363550926064,1,0,0,0
Jharkhand,2005,2005.06,2009.06,CHATRA,SC,RJD,JANARDAN PASWAN,0.3575204605082821,-0.036668363550926064,0,1,1,1
Jharkhand,2005,2005.06,2009.06,DHANWAR,GEN,BJP,RAVINDRA KUMAR RAI,0.29706907555599193,0.023382871730851518,1,0,0,0
Jharkhand,2005,2005.06,2009.06,DHANWAR,GEN,CPI(ML)(L),RAJ KUMAR YADAV,0.2736862038251404,-0.023382871730851518,0,0,0,1
Jharkhand,2005,2005.06,2009.06,BAGODAR,GEN,CPI(ML)(L),BINOD KR SINGH,0.47978673663789195,0.17083400210751098,1,1,0,0
Jharkhand,2005,2005.06,2009.06,BAGODAR,GEN,JMM,NAGENDRA MAHTO,0.30895273453038097,-0.17083400210751098,0,0,0,1
Jharkhand,2005,2005.06,2009.06,JAMUA,SC,BJP,KEDAR HAZRA,0.36347294360334476,0.03782370059306739,1,0,0,1
Jharkhand,2005,2005.06,2009.06,JAMUA,SC,JMM,CHANDRIKA MAHTHA,0.32564924301027737,-0.03782370059306739,0,0,1,1
Jharkhand,2005,2005.06,2009.06,GANDEY,GEN,JMM,SALKHAN SOREN,0.2846141963389202,0.011678381092144918,1,0,0,1
Jharkhand,2005,2005.06,2009.06,GANDEY,GEN,RJD,SARFARAZ AHMED,0.2729358152467753,-0.011678381092144918,0,0,0,0
Jharkhand,2005,2005.06,2009.06,GIRIDIH,GEN,JMM,MUNNA LAL,0.3008281143891949,0.06578699162453783,1,0,0,1
Jharkhand,2005,2005.06,2009.06,GIRIDIH,GEN,BJP,CHANDRAMOHAN PRASAD,0.23504112276465705,-0.06578699162453783,0,0,0,0
Jharkhand,2005,2005.06,2009.06,DUMRI,GEN,JMM,JAGARNATH MAHTO,0.4144909134195699,0.17865645583683837,1,1,1,1
Jharkhand,2005,2005.06,2009.06,DUMRI,GEN,RJD,LALCHAND MAHTO,0.23583445758273153,-0.17865645583683837,0,0,0,1
Jharkhand,2005,2005.06,2009.06,BERMO,GEN,BJP,YOGESHWAR MAHTO,0.345699917152367,0.0687562680774989,1,0,0,1
Jharkhand,2005,2005.06,2009.06,BERMO,GEN,INC,RAJENDRA PRASAD SINGH,0.27694364907486807,-0.0687562680774989,0,1,1,1
Jharkhand,2005,2005.06,2009.06,BOKARO,GEN,INC,MD IZRAIL ANSARI,0.20186144288775193,0.02264366215530289,1,0,0,1
Jharkhand,2005,2005.06,2009.06,BOKARO,GEN,JD(U),ASHOK CHAUDHARY,0.17921778073244904,-0.02264366215530289,0,0,0,0
Jharkhand,2005,2005.06,2009.06,SINDRI,GEN,BJP,RAJ KISHORE MAHATO,0.275581999653532,0.046659914982076944,1,0,0,0
Jharkhand,2005,2005.06,2009.06,SINDRI,GEN,MCO,ANAND MAHATO,0.22892208467145503,-0.046659914982076944,0,0,0,1
Jharkhand,2005,2005.06,2009.06,NIRSA,GEN,AIFB,APARNA SENGUPTA,0.3171693080182018,0.014668131178408927,1,0,0,1
Jharkhand,2005,2005.06,2009.06,NIRSA,GEN,MCO,ARUP CHATTERJEE,0.3025011768397929,-0.014668131178408927,0,1,1,1
Jharkhand,2005,2005.06,2009.06,DHANBAD,GEN,BJP,PASHUPATI NATH SINGH,0.44496429843636187,0.11526580784424229,1,0,0,0
Jharkhand,2005,2005.06,2009.06,DHANBAD,GEN,INC,MANNAN MALLIK,0.3296984905921196,-0.11526580784424229,0,1,0,0
Jharkhand,2005,2005.06,2009.06,JHARIA,GEN,BJP,KUNTI DEVI,0.4341014651787132,0.21800313326017795,1,1,1,1
Jharkhand,2005,2005.06,2009.06,JHARIA,GEN,INC,SURESH SINGH,0.21609833191853522,-0.21800313326017795,0,0,0,1
Jharkhand,2005,2005.06,2009.06,TUNDI,GEN,JMM,MATHURA PRASAD,0.3783936856933321,0.18833276454229267,1,1,0,0
Jharkhand,2005,2005.06,2009.06,TUNDI,GEN,RJD,SABA AHMAD,0.19006092115103942,-0.18833276454229267,0,0,0,1
Jharkhand,2005,2005.06,2009.06,BAGHMARA,GEN,JD(U),JALESHWAR MAHATO,0.3687633508850701,0.06973754030776763,1,0,0,1
Jharkhand,2005,2005.06,2009.06,BAGHMARA,GEN,INC,OM PRAKASH LAL,0.2990258105773025,-0.06973754030776763,0,0,0,1
Jharkhand,2005,2005.06,2009.06,BAHARAGORA,GEN,BJP,DINESH KU SARANGI,0.38034659141017724,0.02434077079107505,1,0,0,0
Jharkhand,2005,2005.06,2009.06,BAHARAGORA,GEN,JMM,VIDYUT VARAN MAHATO,0.3560058206191022,-0.02434077079107505,0,1,0,0
Jharkhand,2005,2005.06,2009.06,GHATSILA,ST,INC,PRADEEP KUMAR,0.3994823732402651,0.12899101996000156,1,0,0,0
Jharkhand,2005,2005.06,2009.06,GHATSILA,ST,IND,RAMDAS SOREN,0.2704913532802635,-0.12899101996000156,0,0,1,1
Jharkhand,2005,2005.06,2009.06,POTKA,ST,JMM,AMULYA SARDAR,0.4057082915122746,0.10383445652748113,1,0,0,1
Jharkhand,2005,2005.06,2009.06,POTKA,ST,BJP,MENKA SARDAR,0.3018738349847935,-0.10383445652748113,0,1,0,0
Jharkhand,2005,2005.06,2009.06,JAMSHEDPUR EAST,GEN,BJP,RAGHUBAR DAS,0.5296265870659715,0.14964171553596267,1,1,1,1
Jharkhand,2005,2005.06,2009.06,JAMSHEDPUR EAST,GEN,INC,RAMASHRAY PRASAD,0.37998487153000887,-0.14964171553596267,0,0,0,0
Jharkhand,2005,2005.06,2009.06,JAMSHEDPUR WEST,GEN,BJP,SARYU ROY,0.3229404274732233,0.08644110497538521,1,0,0,1
